G S_slotted S_pure S_non S_01 S_05 S_1
0.200000 0.168200 0.131700 0.166700 0.183500 0.196200 0.194700
0.400000 0.276900 0.180200 0.284200 0.357500 0.360800 0.345300
0.600000 0.333600 0.185600 0.367600 0.493500 0.489300 0.457100
0.800000 0.357200 0.162500 0.443300 0.596800 0.578900 0.519100
1.000000 0.365500 0.130600 0.498700 0.672500 0.636400 0.542800
1.200000 0.367900 0.109200 0.546600 0.728800 0.674700 0.523700
1.400000 0.349300 0.084700 0.578300 0.770200 0.678400 0.499500
1.600000 0.327000 0.063200 0.610300 0.803200 0.680000 0.461900
1.800000 0.291200 0.051400 0.638100 0.823000 0.663900 0.419500
2.000000 0.271700 0.041700 0.661300 0.831800 0.651200 0.372600
3.000000 0.143900 0.007100 0.744200 0.846400 0.499100 0.191400
4.000000 0.075900 0.001100 0.787700 0.823300 0.367100 0.093100
5.000000 0.034800 0.000300 0.815500 0.780600 0.250500 0.039800
6.000000 0.014300 0.000000 0.830900 0.736400 0.170200 0.017500
7.000000 0.005200 0.000000 0.848400 0.707400 0.121400 0.008200
8.000000 0.002400 0.000000 0.856300 0.667400 0.076000 0.003400
9.000000 0.001300 0.000000 0.864100 0.628600 0.050400 0.001600
