G S_slotted S_pure S_non S_01 S_05 S_1
0.200000 0.164600 0.134000 0.164500 0.188200 0.189600 0.198900
0.400000 0.274800 0.183600 0.279000 0.356100 0.367300 0.343000
0.600000 0.329600 0.174300 0.378600 0.501300 0.484000 0.456100
0.800000 0.364500 0.160000 0.442200 0.601800 0.586100 0.515800
1.000000 0.368800 0.135900 0.498000 0.682300 0.641100 0.538100
1.200000 0.357700 0.106900 0.544100 0.734200 0.673600 0.527000
1.400000 0.342500 0.087300 0.583000 0.777300 0.679600 0.503400
1.600000 0.324400 0.065600 0.610300 0.801600 0.673400 0.463900
1.800000 0.304000 0.051600 0.638300 0.826600 0.669100 0.422900
2.000000 0.268600 0.035200 0.658400 0.838000 0.645900 0.374000
3.000000 0.151500 0.007700 0.742700 0.846500 0.508000 0.196300
4.000000 0.071700 0.002000 0.785700 0.824200 0.356200 0.093200
5.000000 0.031200 0.000200 0.816900 0.784500 0.249400 0.040100
6.000000 0.012100 0.000100 0.833200 0.745300 0.179500 0.017600
7.000000 0.006100 0.000000 0.847600 0.709600 0.114900 0.007400
8.000000 0.003200 0.000000 0.856800 0.663800 0.080000 0.002600
9.000000 0.000500 0.000000 0.865900 0.621100 0.052000 0.002200
